plate,review_reason_code,customer_meaning,reviewer_comments,status
THK BLU,2,THINK BLUE,BLUE,Y
TURISTA,2,NICK NAME FOR CAR GROUP,DIAREHA WHILE ON VACATION,N
Z7Z7Z77,6,,LOOKS SIMILAR CAN BE CONFUSING,N
Z77Z7Z7,6,,LOOKS SIMILAR CAN BE CONFUSING,N
1ALK3IO,6,ONE ALKALINE TRIO,LOOKS LIKE THEY ARE SUBSTITUTING FOR AN AUTO PLATE,N
2000 HOE,1,YEA AND MODEL OF VEHICLE,HOE,N
2VDEEEZ,1,"OUR LAST NAME IS VAN DYKE. MY HUSBAND'S NICK NAME IS VD. SO, TWO OF US WOULD BE 2VDEEEZ! :)",VD ANOTHER TERM FOR VANERIAL DISEASE,N
213HCO5,2,LOS ANGELES AREA CODE,213 AREA CODE,N
4QUINCE,2,SAN FRANCISCO AREA CODE IN SPANISH,415 AREA CODE,N
415H8O8,2,,415 AREA CODE 808 AREA CODE,N
6UM730,6,"6, RATHER 7:30",GUM730 looks like an old auto,N
8O484K1,6,NO MEANING ITS THE SAME LETTERING AND NUMBERING AS THE ORIGINAL PLATES,LOOKS LIKE A COMMERCIAL,N
8THGN SS,2,,8 THUGGIN SS,N
$NURMOM,1,TELL MY KIDS ALL THE TIME YOU BETTER LOVE YOUR MOM... BE IN BIG TROUBLE STUCK WITH JUST DAD,LOVING YOUR MOM,N
O331 IP,6,,LOOKS LIKE A BOAT,N
SCSLSHT,3,SAN CLEMENTE SLINGSHOT,SHIT,N
BLK BEDY,2,NAME OF A SONG CALLED BALK BETTY,BLACK BETTY,Y
BMWTRIX,1,,TRIX TRICKS,Y
CHOCHES,2,CHILD HOOD NICK NAME GIVEN BY OLDEST SISTER,MEXICAN SLANG,N
CHUCO52,2,NICK NAME,MEXICAN SLANG,N
DTHPONY,2,"DEATH PONY, IT WAS A CHARACTER ON A TV SHOW.",DEATH PONY,N
ETOILE8,2,STAR IN FRENCH,TOILET,Y
LO9O9AD,2,USED TO HAVE A LICENSE PLATE WITH THESES NUMBERS AND LETTERS,909 AREA CODE,N
MURDA RT,2,BLACKED OUT VEHICLE. RT IS THE TRIM,MURDER RATE,N
NULL 211,2,NULL 211,211 ROBERY,N
OFFICER,5,MY INFORMATION SECURITY OFFICER OCCUPATION,OFFICER,N
OO71OB2,6,ORIGINAL SEQUENTIAL NUMBERS ASSIGNED TO THE TRUCK.,REVERSE COMMERCIAL,N
O11I11O,6,JEEP'S LOGO,LOOK A LIKE,N
PURITTO,1,IT'S A MIX BETWEEN A CATS PURR AND A BURRITO MAKING IT PURITTO. A DOUBLE T WAS ADDED SO AS TO MAKE IT UNIQUE.,CAT WRAPPED UP,Y
Q111Q,6,JEEP'S LOGO,LOOK A LIKE,N
RBJZJNT,2,I ENJOY GOING TO RNB AND JAZZ JOINTS TO LISTEN TO LIVE MUSIC,CAN NOT TRANSLATE,Y
SHMURDA,2,IT MEANS PEACE LOVE AND DASIYS,MURDER,Y
TWIST 69,1,PERSONALIZED LAST NAME,TWIST 69,N
WAGN 8U,2,CARS MODEL,ATE AL SO COULD MEAN TO BEAT,Y
WETDRY1,1,WET / DRY M SERIES BMW,WET,Y
WOP WAGN,2,,DEROGATORY TERM,N
YNG THG,2,ARTIST NAME,YOUNG THUG,N
YVIAGRA,1,FUNNY,WHY VIAGRA,N
Y23JC8,6,,LOOK A LIKE,N
1 GUNNY,2,,GUN,N
1704AB,6,MY SONS BIRTHDAY,LOOK A LIKE,N
2017 GT,6,2017 FORD GT,LOOK A LIKE,N
2018 GT,6,YEAR AND MAKE OF CAR,LOOK A LIKE,N
33 KILLA,2,33 KILLA NICKNAME,KILLA,N
BLOOCLR,2,,BLUE COLOR,Y
BAD$BLU,2,BAD BLUE EYES,BLUE COLOR,Y
GITWETT,1,TAKING THE BOAT TO THE LAKE AND GETTING WET.,GET WET,N
ILWAXIT,1,I'LL WAX IT,ILL WAX IT,N
LFEMBLU,2,LADY BLUE IN FENCH,BLUE,Y
LO12D,6,"BECAME A NICKNAME OF MINE, HOW IM KNOWN TO MY FRIENDS",CUSTOMER IS USIG THE 1 AND THE 2 TO MAKE AND R.. CUSTOMER LAST NAME IS LORD,Y
HOGASM,1,RAISED PIGS AL MY LIFE AND IM CRAZY ABOUT PIGS,HO,N
ATACK B,2,ATTACK BEE ON A YELLOW JACKET DODGE CHALLENGER,"ATTACK B(ITCH), PULLED FOR ATTACK",Y
BLU BHDA,1,NICKNAME OF VEHICLE,blew Budda,Y
BLUE ME,1,SAD TIME IN MY LIFE AND CAR IS BLUE,BLEW ME,N
B LZN  S5,D,BLAZING S5,"blazing can be a marijuana reference. He has an Audi, s5 is a model number",N
BORNGAY,?,BORN GAY,"my instructions are to run any gay or lesbian plate by the review board, but as long as its positive it is acceptable… Customer's last name is Gay.",Y
BS SJLJ,3,INITIALS,bs=bullshit. Customer is H Sergio Poloma,N
DAM DNYL,3,DAMN DANIEL,"Damn Daniel. FYI we denied DMN DNYL about a month ago for a different guy, also named Daniel",N
DARPA,5-ish,DOMAIN ADVENTURE RESEARCH PROJECTS AGENCY,The Defense Advanced Research Projects Agency (DARPA) is an agency of the U.S. Department of Defense,Y
DH 357,2,DRKHORSE357@YAHOO.COM MY EMAIL,357 MAGNUM=A GUN,N
COYO SI,1,NICKNAME,"coyo can mean anus (ANUS, YES) in Spanish (per TuBabel.com) Customer last name is Coyote",N
DMIGAWD,4,DEMI GOD,"GAWD, this spelling seems disrespectful. OHGAWD is unacceptable but a few others have old records",Y
DOPE MK6,D,MK6 IS THE TYPE OF CAR I HAVE.,PULLED FOR DRUG REFERENCE,Y
EC ENDO,D,EL CAJON ENDODONTICS,"endo=marijuana but his meaning is true, I googled and he has an office in El Cajon",N
FARTFAN,3,FRESH AIR RIVERSE TRANSFER FAN,FART,N
FNH FAL,2,FAVORITE HISTORICAL FIREARM,FN FAL IS A SEMI AUTOMATIC RIFLE,N
HALFY,"1, 2",IT IS MY NICKNAME,"halfie=either someone who is biracial or a semi boner, a half chub. Both could be offensive",N
HELRASR,3,HELL RAISER,HELL,Y
HUSSE 1,1,"OWN A FRANCHISE FROM SWEDEN. THE COMPANY NAME IS HUSSE. IT'S A DOG AND CAT FOOD COMPANY. ""HUSSE"" MEANS DOG MASTER IN SWEDISH. I OWN THE FIRST FRANCHISE IN CALIFORNIA.","his meaning is true. we denied HUSSE for him last year, could be confused with 'hussy', in English=a slut or a prostitute",Y
JAPTOR,2,JASONS RAPTOR,JAP,N
JSTJPIN,2,JUST JEEPING,no jeep on ani. Jap?,Y
JUCETUP,D,JUICE IT UP,"can mean excited, on steroids or PCP or drunk",N
LTSTLKR,2,I AM A PHOTOGRAPHER AND I CHASE THE LIGHT,PULLED FOR STALKER,N
LUVMYJP,2,LOVE MY JEEP,no jeep on ani. Jap?,Y
L2LBULY,2,ITS A SMALL CAR,pulled for 'bully',N
MAKAI69,1,HAWAIIAN WORD FOR OCEAN AND THE YEAR I WAS BORN,"no 69 car on ani, was born in 1969.",N
MCX69,1,"MY INITIALS (MARINA CARDENAS) AND MY BIRTHDAY (JUNE 9, 1976)",NO 69 CAR ON ANI,N
MDRPNTO,2,"I FIX PINTO CARS FOR PEOPLE. SO ""I'M DR PINTO""",MURDER PINTO,N
MEANTRD,2,MEAN TOYOTA RACING DEVELOPMENT,MEAN TURD,N
MONGO68,2,ACTOR IN A MEL BROOKS MOVIE,"mongo, urban dictionary says it's derogatory. Slang for someone with Down's Syndrome",N
NIJJAR7,2,NIJJAR IS A VILLAGE NAME IN INDIA WHERE I AM FROM AND IT'S REALLY SPECIAL TO ME,"some similar are out there and some are unacceptable, its about 50/50… it seems to be a village. Pulled because of resemblance to the ""N"" word",N
NST CAT,1,VERY FAST CAT,has a 1967 Chevy.. Cat car? cant think of one. Nasty cat. A nasty dude,N
PORKY,2,IT'S MY NICKNAME FOR THE CAR,"INSULTING WAY TO SAY 'FAT', PORKYYY WAS DENIED 7/2015",N
PWR BOX,1,BOX OF POWER,"box=female anatomy, no cars come up on ani",Y
RAH1969,1,MY INITIALS AND YEAR OF BIRTH,"is birth year, no 69 car",N
RICE ME,2,TYPE OF CAR,becaue of 'me'… do what? To you?,N
SLVR HMR,2,SILVER HAMMER,"Beatles song, Maxwell's Silver Hammer. He kills everyone with a silver hammer…",N
SMKN BLK,D,MY WIFES HORSES REGISTERED NAME,"PER EROWID DRUG SLANG WEBSITE, BLACK=OPIUM OR CANNABIS",N
SMOKNBD,D,"OLD SCHOOL, DRAG RACING, & NASCAR TERM FOR HAVING A BAD/NICE RIDE..",SMOKIN BUD,N
TANGODN,2,TANGO DOWN AND ITS FOR MY MILITARY SERVICE. USMC,"MILITARY SLANG, TARGET (OR TERRORIST) IS DOWN, HAS BEEN NEUTRALIZED… URBAN DICTIONARY",N
TETTES,1,PART OF MY LAST NAME (MARENTETTE) AND MY NICKNAME,TITTIES,N
TMFRR,3,TOO MUCH FUN RAILROAD,MF,N
TUNA FSH,1,I'M A PROFESSIONAL FISHERMAN AND I FISH FOR TUNA ALL OVER THE WORLD,"I GOOGLED HIM, HE IS AND HE DOES",N
TWOPUFF,D,IM ASTHMATIC-TAKE TWO PUFFS ON ASTHMA INHALER,marijuana reference,N
U RAMIT,1,NONE,"DOES HAVE A DODGE, OK?",N
WARWGUN,2,MY PASSED AWAY AND THIS IS WHAT HE NAMED HIS TRUCK TO RUN AT FAMOSA,"It was a heavy wagon given protective sides with firing slits and heavy firepower from either a cannon or a force of hand-gunners. Used in medieval times. (ALSO ""GUN"")",N
ZMBSLAR,2,ZOMBIE SLAYER,"slay=kill, ZOMBIE SLAYER",N
2DRK 4BS,3,TOO DARK FOR BACK SLIDING,TOO DARK FOR BULLSHIT,N
26T8MUP,1,"THE CAR IS A 26 MODEL T FORD, ITS GOING TO BE PAINTED PURPLE, ITS NICKNAME IS THE PURPLE PEOPLE EATER","ate em up, DOES HAVE A 26 FORD",Y
3CONO,1,THREE ECONOLODGE OWNER,CONO=CUNT IN SPANISH,N
6 CHORNI,1,CHORNI MEANS BLACK IN RUSSIAN. CAR IS BLACK.,"google translate  says it means ""horney""",N
69BCUDA,1,FOR A 1969 BARRACUDA,don’t find a 69 on ani but plate clearly describes a 1969 car,Y
8 1UP,1,INFINITE 1 UP GAMING TERM FOR HAVING UNLIMITED LIFES,ATE ONE UP,N
#GSTNGA,2,LAST NAME OF REGISTERED OWNER,"NGA… A GIFT FOR CUSTOMER, LAST NAME IS GASTANAGA",N
DRONCOP,5,WE SHOULD BE PROTECTED,drone cop? Pulled for cop,N
STONZE,3,ROLLING STONES,stones can mean balls. STONES has been out since 1986,Y
SHICHYA,3,SONG TITLE BY FAVORITE MUSIC GROUP,"it is a song, cant find a meaning to the word. Sounds like 'shit yeah' ?",N
33JUMP,3,YEAR OF VEHICLE AND LAST NAME OF OWNER,it IS his last name and he does have a 1933 Chevy. My only concern it that it is a Memorial plate and it says 'jump',Y
FATDAWG,2,NICKNAME,FAT DOG,Y
FMRGMAN,5,RETIRED FBI AGENT,"FORMER G MAN, G MAN IS A FEDERAL AGENT",Y
GO12DON,7b,MY FIRST NAME GORDON,pull as substitute? 12=R,Y
JAP STYL,2,KEEP IT JAPANESE STYLE!,JAP,N
JIJIKAT,1,CAT NICKNAME,"NO CAT CAR, NAME IS KATHERINE",Y
KLS CHGR,2,KELLS CHARGER,LOOKS LIKE KILLS CHARGER BUT DOES HAVE A DODGE AND LAST NAME IS KELLY,N
LILLTRD,3,TRUCK NAME,LIL' TURD,N
WHT BOY,2,FAMILY JOKE. EVERY TIME I ASK MY DAD A QUESTION HE SAYS WHAT BOY BUT HE CANT SPELL,WHITE BOY,N
SHINHYE,D,MY FIRST NAME,SHY N HIGH? BUT IT IS HER NAME,Y
TNT SVY,2,NIECE'S INITIALS,"TNT SAVVY, EXPERIENCED WITH EXPLOSIVES?",N
TNT3456,2,REMIND MYSELF TO WORK HARD TO HAVE BETTER LIFE,TNT=EXPLOSIVES,N
DAM ESE,3,NO MICRO,DAMN ESE,N
HELLROD,3,NO MICRO,"HELL ROD. ON AN AUTO, NO DODGE LISTED",N
NEGRO 1,2,NO MICRO,NEGRO…. COLOR BLACK IN SPANISH,N
MUGGINN,2,MAD LOOKING FRONT BUMPER,MEAN MUGGIN….. MUGGIN-ROBBERY,N
OGLUV LA,2,ORIGINAL LOVE FOR LOS ANGELES,OG,N
OG49ERS,2,OLD SCHOOL 49ERS FAN,OG,N
PATRON G,2,IT IS MY NAME INITIAL AND A BRAND THAT I LIKE,G,N
ABORATE,2,,"MEANS GET LOST, IN A RUDE WAY",N
ARSEN 3D,2,ARSEN IS MY NAME AND I AM A 3D DESIGNER.,ARSEN TO BURN PURPOSELY,Y
AUTO 211,2,,211 ROBERY,N
BAD ISIS,2,PERSONAL SAYING,ISIS,N
BENZOVR,2,I BOUGHT A MERCEDES BENZ OVER A BMW,BEND OVER,N
BIG DMY,2,NICKNAME,BIG DUMMY,N
BOOOOM1,2,,BOOM,N
BUCKN4X,2,BUCKING HORSES AND 4X4,GUN SOUND,Y
BUD 1,D,BUDDY IS OUR DOG,BUD AS IN MARIJUANA,N
DIE4MEE,2,I AM A WILL AND TRUST LAWYER. SO I WORK WITH FAMILIES OF PEOPLE WHO HAVE DIED.,DIE FOR ME,N
FAT DABS,D,A JESTURE/DANCE MADE BIG IN THE LAST YEAR,DABS DRUG REFERENCE,N
GDTUP 66,2,GIDDY UP 66 MUSTANG,GET IT UP,N
JAPXCN,2,JAPANESE MEXICAN,JAP SLANG FOR JAPANESE,N
KIWI 818,2,PERSONAL FAMILY,818 AREA CODE,N
MAKAPOB,2,MY LAST NAME IN RUSSIAN,GUN,N
MOBBIES,2,MY NICKNAME FOR MARIA,MOB,N
NACIDAD,2,LAKE NACIEMENTO DAD,SOUNDS LIKE NATZI DAD,N
NACIMOM,2,LAKE NACIMIENTO MOM,SOUNDS LIKE NATZI MOM,N
ORNGTTS,1,,ORANGE TITS?,N
PIMMPNN,1,VERY CLEAN NICE LOOKING AUTO.,PIMPIN,N
RIV7O7H,2,,707 AREA CODE,N
SURG 2O9,2,,209 AREA CODE,N
VANYA G,2,"GOD'S BLESSING, (DAUGHER'S NAME, FIRST CHILD)",G.. CUSTOMER LAST INITIAL IS G,N
805 HAUL,2,805HAUL,805 AREA CODE,N
619 DAGO,2,,619 AREA CODE,N
PMS$LFE,2,INITIALS FOR BUSINESS: PROFESSIONAL MEDICAL SPECIALTIES,PMS PRE MENSTRUAL LIFE??,Y
SWT TIT,1,ITS THE INTIALS OF MY KIDS,LOOKS LIKE SWEET TIT,N
ROC &RED,2,NICKNAME AND COLOR OF CAR,ROCKSTAR RED,Y
DIVABLZ,1,I SING THE BLUES PROFESSIONALLY IN MULTIPLE BAY AREA BANDS.,DIVA BLZ LOOKS LIKE BALLS,N
DYCEKUP,1,I MANUFACTURE DICE CUPS,CAN NOT TRANSLATE,Y
DAMSRT8,3,DESTROY ALL MUSTANGS,DAM SRT… LOOKS LIKE DAMN STRAIGHT AT A QUICK GLANCE,N
ALUPNYA,1,,ALL UP IN YA,N
I82I3II,6,,LOOKS LIKE AN EXEMPT,N
JEFE 53,2,,JEFE BOSS,N
7TTJB81,6,,LOOKS LIKE AN AUTO PLATE,N
187 V ROD,2,,187 MURDER,N
NOT PINK,1,,PINK,N
BIGUANO,3,NOT ON QUICKWEB YET,"guano=bat shit, cant find a meaning for biguano. His name isnt Juan.",N
BLAX TRK,2,NOT ON QUICKWEB YET,blacks truck… not sure if this is to describe the truck or the driver?,Y
C 4 FAM,2,NOT ON QUICKWEB YET,"c4=an explosive, LAST NAME STARTS WITH 'C'",N
DNGR GPA,2,DNGR = GRANDSON'S NAME GPA= GRANDFATHER (PA),DANGER GRANDPA?,Y
END OF5O,5,END OF THE 50'S,end of police,N
HERBSAC,D,NOT ON QUICKWEB YET,"herb sack, weed? Customer name is Herbert",N
JJDAM73,3,INITIALS AND DATE OF BIRTH,DAMN. SHAORT FOR HIS LAST NAME DAMBROSIO,N
MAXXKAT,1,FIRST NAMES MIXED TOGETHER,"no cat car, customer is Maxim and wife is Kathleen",Y
MC PANDA,5,NOT ON QUICKWEB YET,"panda can mean police, mc are his initials.",Y
MIRA ME,3?,LOOK AT ME,"does say 'look at me' in Spanish. If a frame is around the plate, you may not be able to see the bottom of the E and it will look like  ""MIRA MF""",Y
MYED2O9,2,MY ED-209. A REFERENCE TO TO THE DROID IN THE MOVIE ROBOCOP.,"customer meaning is true (Robocop), pulled because 209  is an area code (Stockton) but customer lives in Oceanside",N
PNTR8RS,1,PANTHER TRAILERS. MOTORHOME IS A 2001  SAFARI PANTHER,has a Safari motorhome (it's not a trailer) and this looks like 'panty raiders',Y
RDN HIGH,D,HIGH TRUCK,"high can have drug connotation, has a Dodge truck",N
SED8N RN,2,SEDATING RN,SEDATING NURSE. questioning because of 'sedating',N
SLAY3R G,2,VIDEO GAME GAMER TAG,substituting but pulled for 'slay' (kill) and 'G',N
SUC IO72,2,NICKNAME AND YEAR OF BIRTH,"according to Google sucio=dirty, filthy. sinful, tainted. obscene, vulgar. But he also put a 1/2 space so it says 'suck' at the beginning.. Whether or not it was intentional",N
TNN MAN,5,"TIN MAN, CHARACTER IN WIZARD OF OZ THE MOVIE",tin man is also slang for police (because of badge),Y
TWINDRG,D,THIS IS THE TYPE OF FISHING REEL THAT I LOVE. THE FULL WRITEN WORD IS TWINDRAG.,DRAG OR DRUG?,Y
PRPLEHZ,D,NOT ON QUICKWEB YET,purple haze is a strain of marijuana,N
RYDAME,1,NOT ON QUICKWEB YET,ride me? a m/c,N
TCTA69,1,NOT ON QUICKWEB YET,no 1969 on ani,N
LARAF$N,2,LARA FUN ( LARA FAMILY NAME) LARA FAMILY  LOVES FUN,could say 'fun' or could say farting. Her last name is Lara though,N
BLDNGUT,2,TRAUMA SURGEON (BLOOD AND GUT),BLOOD AND GUT,N
PRD MNKY,1,PROUD MONKEY,MONKEY=FEMALE ANATOMY,N
SOHI 1,D,not on quickweb yet,"so high, but customer last name is Sohi",N
PRPHAYZ,D,PURPLE HAZE MY NICK NAME,purple haze is a strain of marijuana,N
TRDTEN7,2,NOT ON QUICKWEB YET,TRD=TURD OR TARD OR TOYOTA RACING DEVELOPMENT (NO TOYOTA ON ANI) 10-7 IS POLICE CODE FOR OUT OF SERVICE,N
BRN/PRD,2,Peoples first initial of names,"Brown Pride, race",N
/DEALERS/,D,Not on micro,Drug dealer,N
GLC*48*/,2,Not on micro,Glock 48 hand gun,N
/M6OGNR/,D,Not on micro,M60 tank gunner weapon,N
MKW*ZO6/,B,Name initials and car model,1960's plate lookalike 3 letter 3 number,N
RT2CARRY,D,Second ammendment support,"Gun control, may be offensive/conflict",N
/2SMOKE/,D,Not on QuickWeb,"Smoking, potentially drug related",N
S5EUL8R/,B,Personal Meaning,Number as a letter,Y
FORCE/FD,2,The car has foce induction feeing the motor,"Force Feed, potentially violent meaning",N
CYANIDE/,D,Survived an accidental consumption of cyanide when a child/nick name.,Poison,N
ABSTACO,1,MY INITIALS AND THE ABBREVIATION FOR A TOYOTA TACOMA.,TACO,N
ANY1KLA,2,I HAVE THE NICEST LOOKING TRUCK,KLA LOOKS LIKE KILLA,N
BK BIRD,2,BLACK BIRD,BK BLOOD KILLER OR BLACK BIRD,Y
BK9GEAR,2,THE NAME OF MY SMALL SIDE BUSINESS. BACK 9 GEAR,BK BLOOD KILLER,Y
BYRNER,2,NICKNAME,BURNER,N
DIE4QTR,2,DIE NAME OF COMAPNY IN QTR(QATAR COUNTRY),DIE,N
DMIRISH,3,HUSBANDS NAME,DAMN IRISH,N
DMMDNYL,3,"DMM"" MEANS DIRECTOR OF MEDICAL MANAGEMENT AND ""DNYL"" IS MY NAME DANIEL",DAMN DANIEL,N
DORF RN,2,NICKNAME AND CAREER,DWARF NURSE,N
D ROK818,2,DANIEL ROCKS MY AREA CODE,818 AREA CODE,N
DTH E8ER,2,SCREEN NAME,DTH E8ER DEATH EATER,N
D849O21,6,NOTHING JUST SOMETHING RANDOM YET SIMPLE,LOOK A LIKE,N
EUROTIC,1,ANOTHER TERM FOR EUROPAN AND EXOTIC CARS,EURO EROTIC,Y
FLIP 76O,2,"MY NAME IS PHILIP, AND MY NICKNAME IS FLIP. MY CAR IS A 1990 VOLVO 760T. FLIP FROM MY NAME AND THE 760 FROM MY CAR.",760 AREA CODE,Y
FN SLYR,3,"REPRESENT MY FAVORITE BAND. IN HONORING OF THE LATE GREAT JEFF HANNEMAN, SLAYER'S GUITARIST.",EFFIN SLAYER FUN SLAYER,N
HTSHTZ1,3,HOTSHOTZ COURIER SERVICE,LOOKS LIKE HOT SHOTS OR HOT SHITS,N
HUF4RTD,2,HAVE UNWAVERING FAITH (4) RESPECT THE DAY,WHO FARTED,N
I 707 I,2,707 HORSE POWER,707 AERA CODE,Y
KLNSPRE,2,KILLING SPREE,KILLING SPREE,N
KYLSEAN,2,COMBINATION OF THE NAMES OF MY 2 SONS KYLE AND SEAN,KILL SEAN,N
KYLSTRK,2,KYLES TRUCK,KILL STREAK,N
LOWWHOE,1,CUSTOM VEHICLE REPRESENTATION. ITS A TAHOE AND ITS LOWERED,HOE,N
LS3 HOE,1,MOTOR SIZE,HOE,N
MACS 10,2,INITIALS OF MY DAUGTHER NAME,MAC 10 GUN,N
MINI TT,1,MY CAR IS A MINI COOPER AND TT IS THE ABBREVIATION FOR MY NAME TIM TRAN,TT BREAST,N
MK65O,2,INITIALS AND MODEL,650 AREA CODE,Y
N93OJF,6,THIS IS THE FAA TAIL NUMBER ON MY PRIVATE PLANE. PLEASE CENTER THESE 6 CHARACTERS ON THE PLATE! THANKS,LOOKS LIKE LEGACY SEQ.,N
OD JEEP,D,OLIVE DRAB JEEP,ODD JEEP OR OVER DOSE,Y
OQOQ888,6,MY GRANDFATHER INITIAL AND 3 8'S REPRESENT MY LUCKY NUMBER,LOOKS LIKE ALL DIGITS,N
OQQQOQQ,6,NONE,LOOKS LIKE ALL DIGITS,N
P2729O5,6,BIRTHDATES OF FAMILY MEMBERS,LOOK A LIKE,N
RB 1 OFF,1,GET THE DIRT OFF OF YOUR CAR,RUB ONE OFF MASTURBATE,N
REDCUBN,2,I HAVE RED HAIR AND AM CUBAN,RED CUBAN,Y
RTRD BUG,2,RAT ROD BUG,RETARD BUG,N
SEXY A5,1,GOOD LOOKING AUDI,LOOKS LIKE SECY AS,N
SNOBUNS,2,SNOBUNS STANDS FOR SNOW BUNNY AND THIS IS A TERM ONE USES ON THE SLOPES TO REFER TO A FEMALE SNOWBOARDER OR SKIER.,SNOW BUNNY SLANG FOR CAUCASION WOMAN,N
TRAMP 1,1,MY DOG,TRAMP,N
TRAP QWN,D,A NICK NAME,TRAP QUEEN,N
WETSU 62,3,WE EAT THIS STUFF UP BATTLE SHIP NEW JERSEY BB62,WE EAT THIS SHIT UP,N
1ST MSLE,2,1ST MUSCLE CAR,1ST MISSILE,N
2BIG 4UA,1,MY 10 YEAR OLD SON CAME UP WITH THAT DUE TO THE FACT THAT I HAVE A,TOO BIG FOR YOU AYE?,N
4335OR1,6,NO SPESIAL MEANING,LOOKS LIKE A COMMERCIAL,N
9549OY1,6,MY SILVERADO PLATE NUMBER,LOOKS LIKE A COMMERCIAL,N
MAKE $,1,I AM A THERAPIST WHO HELP PEOPLE CREATE BETTER RELATIONSHIPS AND THIS PLATE SYMBOLIZES MY LIFE WORK,MAKE LOVE,N
MACS668,2,,668 AREA CODE,Y
INDICA,D,"CLASSICAL GREEK AND LATIN FOR ""OF INDIA""",MARIJUANA STRAND,N
DRF4LFE,2,DIRT ROAD FANATIC FOR LIFE,DWARF FOR LIFE,Y
JST 1 PMP,1,JUST 1 PUMP,JUST ONE PIMP JUST ONE PUMP,N
TATA X2,1,JUST 1 PUMP,TATA TIME 2 BREAST,N
POP BOB,1,MY GRANDCHILDREN CALL ME POP BOB,SHOOT BOB,Y
SNO BNZ,2,LAST NAME AND VEHICLE TYPE,SNOW BUNNIES OR SNO BENZ,N
HEL BOND,2,,HELL BOUND,Y
PERICO1,D,,PARROT ALSO SLANG FOR COCAINE,N
3900 MK,6,,LOOK A LIKE BOAT,N
BK $ MI,2,,BK BLOOD KILLER,Y
B&S GOD,2,,LOOKS BULL SHIT GOD,N
AGRCSUC,1,alpha gamma rho chico,suck,N
BLACBTE,3,"black betty, the name of my car, from a song title","urban dictionary says back betty=heroin. This is a song, some of these are out, I found 1 unacceptable",N
BLSMBIL,1,blues mobile' designation from 'blues brothers' movie,balls,Y
CCBOOM,2,ccboom is my nickname,boom as in explosion,N
DAA BAUM,2,my last name,"the bomb, last name is Baum",N
DTH BELO,2,"death from below, a united states navy submarine force saying",death below,N
GFK 1982,2,NO QUICKWEB,GFK=Ghostface Killah from Wu-Tang Clan (urban dictionary 41 up 12 down),N
GOT ITBS,3,got individual throttle bodies (car part) or game of thrones is the best show,b.s.=bull shit,N
HAIL53O,2,daughters name is hailey and her birthday,"530is area code for woodland, ca",N
MY CRSTY,3,NO QUICKWEB,"crusty=dirty, trashy, slutty. Or maybe it's Christy?",N
OO DANGG,3,oh dang' dang is my last name haha,dang=euphemism for damn. Is customer last name,N
PORKYYY,2,nickname,insulting,N
RICH MEX,2,rich Mexican,"insulting, implies all other Mexican people are poor?",Y
SSTHIZ,3,ss thiz,thizz=Bay Area slang for ecstacy (drug),N
THBAGMN,2,nickname based off my last name,mafia- person who collects or carries or distributes illegal payoff money (dictionary.com) Baghdasarian is last name,N
USA GOV,5,name,could be misconstrued as a government car,N
187CADI,2,are cadillac name,187=murder,N
619SAND,2,619 area code for san diego,619=san diego area code,N
65 ZERO,2,year model and my cars 'name',650 is Bay Area area code and the customer's area code. No 1965 vehicle on ani either,N
$4SLAYR,2,love for the band slayer,"pulled for slayer, but it is a band",N
DOMECEO,1,Dome Printing Chief Executive Officer,"do me or Dome, it IS a local business",Y
DOMECFO,1,Dome Printing Chief Financial Officer,"do me or Dome, it IS a local business",Y
DOMECOO,1,Dome Printing Chief Operating Officer,"do me or Dome, it IS a local business",Y
DOMECSO,1,Dome Printing Chief Sales Officer,"do me or Dome, it IS a local business",Y
M16LUV,2,I love my m-16,m-16 is a rifle,N
SO SWAT,5,I was a member of SWAT team,law enforcement… cop,N
STANC4D,3,"after my dog's name Stan, celebrating his 4th birthday",stank Ford (stank=whorish and trashy) but has a subaru and porsche on ani… not out with an A,N
GRKCAPO,2,greek boss… my wife jokes around and calls me this,capo=captain in the mafia,N
OG KAT,2,NO QUICKWEB,OG,N
PAPPOO1,3,what the grandkids call me. I was refused PAPPOO2,"poo, in order #122 we denied customer's request for PAPPOO2",N
ANALE5O,1,ANALE IS MY FIRST NAME. 1950 IS MY BIRTH YEAR,ANAL…CUSTOMERS NAME IS ANALE,N
BLZN 51,7,BLAZING 1951. FOR 1951 MERCURY SEDAN,BLAZIN… NO CHEVY ON RECORD. HAS A '51 VEHICLE.,N
BLZN 69,7,BLAZING 1969. FOR 1969 DODGE CHARGER,SAME AS ABOVE. HAS A '69 VEHICLE,N
BOSS SHT,3,BOSS SO HE TIPS,BOSS SHIT,N
JAYS 69,1,NO MICRO,NO '69 VEHICLE,N
MRDR PNY,7,ALL BLACK MUSTANG,MURDER PONY,N
MSKK53O,7,MY NAME'S INITIAL,530 AREA CODE. LIVES IN BALDWIN PARK,N
N THE8O5,7,LIVING IN THE AREA 805,805 IS THEIR AREA CODE,N
RED1969,1,NO MICRO,COULDN’T VERIFY '69 CAR.,N
ROB DMAN,7,NO MICRO,"ROB THE MAN, ROB IS THE MAN. CUSTOMER'S NAME IS ROBERT",N
415LARK,7,NO MICRO,415 AREA CODE,N
